timestamp,open,high,price_validation,hourly_volatility,low,close,price_change,volume
2025-05-12T09:59:28,104448.7,104545,Valid,334,104211.1,104273,-176,35.55984886
2025-05-12T10:14:24,104273.1,104331.4,Valid,171,104160.7,104328.4,55,15.74829508
2025-05-12T10:29:20,104328.3,104534.1,Valid,255,104279.4,104377.9,50,19.31142839
2025-05-12T10:44:16,104377.9,104520.5,Valid,202,104318.5,104517.6,140,10.16305062
2025-05-12T10:59:12,104517.6,104625,Valid,234,104391,104475.4,-42,26.59835649
2025-05-12T11:14:08,104475.3,104506.6,Valid,205,104301.2,104356.4,-119,19.99513559
2025-05-12T11:29:04,104356.4,104372.6,Valid,225,104148.1,104153.1,-203,24.61112794
2025-05-12T11:44,104153.2,104245.6,Valid,629,103616.2,103753.9,-399,65.54297388
2025-05-12T12:01:04,103753.9,103939.7,Valid,217,103722.9,103936.9,183,39.27783651
2025-05-12T12:16,103936.9,104031.1,Valid,247,103784.1,103995.2,58,25.49595096
2025-05-12T12:30:56,103995.3,104142.1,Valid,270,103871.9,104110.1,115,36.18603364
2025-05-12T12:45:52,104110.1,104110.1,Valid,237,103873,103873,-237,29.71633454
2025-05-12T13:00:48,103873,104229.1,Valid,356,103873,104201.7,329,27.8010867
2025-05-12T13:15:44,104210.6,104372,Valid,232,104140.1,104157.2,-53,37.61582928
2025-05-12T13:30:40,104157.2,104448.2,Valid,778,103670.5,103793.7,-363,102.17457314
2025-05-12T13:45:36,103791.8,104625.9,Valid,834,103791.8,104303.1,511,77.75719252
2025-05-12T14:00:32,104315.7,104387.2,Valid,449,103938.7,103997,-319,79.02776277
2025-05-12T14:15:28,103993.4,104253.3,Valid,1593,102660.4,102949,-1044,118.58483956
2025-05-12T14:30:24,102949.2,103495.4,Valid,923,102572.1,103450,501,129.15719583
2025-05-12T14:45:20,103459.2,103459.2,Valid,704,102755.5,102797.7,-661,70.16513707
2025-05-12T15:00:16,102801.5,103023.3,Valid,599,102424.8,102941.5,140,87.35655478
2025-05-12T15:15:12,102941.4,103204.1,Valid,429,102775,102956,15,51.97614468
2025-05-12T15:30:08,102955.9,102982.1,Valid,491,102491.1,102623.3,-333,71.49589567
2025-05-12T15:45:04,102624.2,102711.4,Valid,316,102395.2,102540.6,-84,64.2562612
2025-05-12T16:00,102536.1,102803.8,Valid,370,102433.5,102803.7,268,65.61415832
2025-05-12T16:14:56,102810.5,103020.9,Valid,210,102810.5,102992.9,182,40.22216878
2025-05-12T16:29:52,102987.7,103018.3,Valid,264,102754.3,102909.3,-78,41.76039795
2025-05-12T16:44:48,102909.4,103071.2,Valid,226,102845.7,102863.3,-46,29.76280066
2025-05-12T16:59:44,102863.3,103087.6,Valid,271,102816.4,103002.7,139,30.46614041
2025-05-12T17:14:40,103002.7,103039.2,Valid,350,102689.1,102919.6,-83,23.95757722
2025-05-12T17:29:36,102919.7,102994.5,Valid,218,102776.7,102778.8,-141,25.87456612
2025-05-12T17:44:32,102778.9,102878.9,Valid,340,102539,102555.1,-224,38.37391604
2025-05-12T17:59:28,102555.1,102659.7,Valid,860,101800,101956.4,-599,112.18587195
2025-05-12T18:14:24,101980.5,102260.1,Valid,633,101627.6,101633,-347,59.71686687
2025-05-12T18:29:20,101633,101750.6,Valid,672,101078.4,101202,-431,100.11395915
2025-05-12T18:44:16,101201.9,101776.6,Valid,1037,100739.3,101623.3,421,123.31694285
2025-05-12T18:59:12,101623.4,102030.1,Valid,467,101562.7,101853.7,230,61.49926831
2025-05-12T19:14:08,101853.8,102104,Valid,476,101628.5,101673.1,-181,51.09962327
2025-05-12T19:29:04,101673.1,101885.8,Valid,410,101475.6,101566.1,-107,34.97130739
2025-05-12T19:44,101577.2,101930,Valid,353,101577.2,101859.3,282,35.78576193
2025-05-12T19:58:56,101859.3,101997.4,Valid,224,101773.3,101842.6,-17,24.72955936
2025-05-12T20:16,101842.7,102270.1,Valid,427,101842.7,102245.5,403,32.53512525
2025-05-12T20:30:56,102245.5,102654.1,Valid,450,102204,102522.3,277,52.34703966
2025-05-12T20:45:52,102522.3,102884.9,Valid,430,102454.9,102672.5,150,39.87957363
2025-05-12T21:00:48,102672.6,102742.3,Valid,249,102493.7,102512.2,-160,23.97399905
2025-05-12T21:15:44,102512.1,102625.5,Valid,269,102356.1,102356.1,-156,22.05862361
2025-05-12T21:30:40,102356.1,102611,Valid,255,102356.1,102523.1,167,13.48344273
2025-05-12T21:45:36,102523.1,102623.8,Valid,186,102438,102502.8,-20,12.98783902
2025-05-12T22:00:32,102502.8,102624.6,Valid,277,102347.5,102552.3,50,18.4519411
2025-05-12T22:15:28,102558,102787.2,Valid,239,102547.8,102750.1,192,13.52548924
2025-05-12T22:30:24,102750.1,102852.6,Valid,124,102728.8,102808.7,59,13.75098997
2025-05-12T22:45:20,102808.7,102930.6,Valid,141,102789.3,102855.4,47,8.28728525
2025-05-12T23:00:16,102856.4,102986.3,Valid,130,102856.4,102913.2,57,13.77567159
2025-05-12T23:15:12,102923.1,103127.5,Valid,205,102923,103090.4,167,10.57702404
2025-05-12T23:30:08,103090.5,103095.7,Valid,278,102817.6,102868.4,-222,12.53145374
2025-05-12T23:45:04,102861.7,102948.9,Valid,161,102787.7,102787.8,-74,6.52423161
2025-05-13T00:00,102787.7,102787.7,Valid,236,102551.3,102589.9,-198,21.99829373
2025-05-13T00:14:56,102589.9,102650.2,Valid,244,102405.9,102532.3,-58,21.71721542
2025-05-13T00:29:52,102537.5,102554.2,Valid,332,102222.2,102237.6,-300,26.22589274
2025-05-13T00:44:48,102241.1,102425.7,Valid,258,102168.1,102252.5,11,23.00783107
2025-05-13T00:59:44,102262.4,102636.9,Valid,392,102244.7,102540.3,278,17.43226014
2025-05-13T01:14:40,102540.4,102714.1,Valid,249,102464.7,102480.7,-60,27.84352565
2025-05-13T01:29:36,102472.7,102543.2,Valid,463,102080.2,102250.8,-222,35.29632641
2025-05-13T01:44:32,102250.8,102506.1,Valid,312,102194.2,102408,157,18.29749012
2025-05-13T01:59:28,102394.3,102707.6,Valid,648,102060,102087.8,-306,66.79135542
2025-05-13T02:14:24,102087.8,102281.7,Valid,581,101700.8,102281.7,194,56.37290268
2025-05-13T02:29:20,102281.7,102307.1,Valid,398,101909,101923.7,-358,25.4810898
2025-05-13T02:44:16,101923.7,102089.1,Valid,284,101804.8,102068.5,145,17.74312721
2025-05-13T02:59:12,102068.6,102154.1,Valid,304,101850.1,102038.5,-30,14.48222195
2025-05-13T03:14:08,102038.5,102058.8,Valid,557,101501.7,101594.5,-444,23.70422611
2025-05-13T03:29:04,101594.5,101857.5,Valid,417,101440.1,101848.3,254,37.30731492
2025-05-13T03:44,101847.8,101847.8,Valid,223,101624.6,101717.6,-130,26.42384878
2025-05-13T04:01:04,101717.6,101938.1,Valid,324,101614,101898.2,181,31.38843377
2025-05-13T04:16,101906,102371.3,Valid,479,101892.3,102371.3,465,39.29593207
2025-05-13T04:30:56,102371.4,102644.4,Valid,273,102371.4,102543.8,172,34.09684831
2025-05-13T04:45:52,102543.9,102760.9,Valid,217,102543.9,102741.6,198,30.7301366
2025-05-13T05:00:48,102738.6,102738.6,Valid,151,102587.9,102651.1,-87,28.78695175
2025-05-13T05:15:44,102651.1,102667.8,Valid,124,102543.7,102562.8,-88,14.66352153
2025-05-13T05:30:40,102562.8,102569.4,Valid,299,102270.3,102277.7,-285,14.57807062
2025-05-13T05:45:36,102277.8,102479.9,Valid,212,102267.9,102466.1,188,16.18067037
2025-05-13T06:00:32,102466.1,102682.1,Valid,216,102466.1,102632.2,166,14.32744924
2025-05-13T06:15:28,102632.3,102647.5,Valid,309,102339,102360.3,-272,13.66215865
2025-05-13T06:30:24,102360.3,102584.1,Valid,227,102357,102564.1,204,9.80833134
2025-05-13T06:45:20,102569.1,102604.3,Valid,176,102428.4,102545.1,-24,5.97178874
2025-05-13T07:00:16,102545.2,102759.4,Valid,214,102545.2,102717.8,173,12.0256204
2025-05-13T07:15:12,102717.9,102940.3,Valid,254,102686.7,102788,70,20.22789835
2025-05-13T07:30:08,102788.1,102832.4,Valid,186,102646.6,102670,-118,15.74373829
2025-05-13T07:45:04,102671.4,102743.8,Valid,111,102633.3,102665.2,-6,9.41398438
2025-05-13T08:00,102665.2,102931.8,Valid,267,102665.2,102891,226,18.84855887
2025-05-13T08:14:56,102897.9,102950,Valid,401,102548.7,102572.7,-325,24.89425236
2025-05-13T08:29:52,102572.7,102832.2,Valid,264,102568.2,102739.9,167,12.17336356
2025-05-13T08:44:48,102742.8,102810.2,Valid,143,102666.8,102715.2,-28,7.25459368
2025-05-13T08:59:44,102715.2,102975,Valid,262,102713.4,102965.2,250,20.37517866
2025-05-13T09:14:40,102973.7,103288.7,Valid,315,102973.7,103243.7,270,22.37151013
