time,price,date,datetime
55:04.3,102640,5/15/25,09:49.1
56:04.0,102636,5/15/25,10:49.1
57:04.6,102644,5/15/25,11:49.1
58:03.9,102644,5/15/25,12:49.1
59:04.5,102619,5/15/25,13:49.1
00:04.1,102613,5/15/25,14:49.1
01:04.5,102609,5/15/25,15:49.1
02:03.9,102613,5/15/25,16:49.1
03:04.5,102607,5/15/25,17:49.1
04:04.1,102605,5/15/25,18:49.1
05:03.6,102625,5/15/25,19:49.1
06:04.0,102627,5/15/25,20:49.1
07:04.5,102625,5/15/25,21:49.1
08:04.0,102623,5/15/25,22:49.1
09:04.7,102641,5/15/25,23:49.1
10:04.2,102645,5/15/25,24:49.1
11:03.7,102644,5/15/25,25:49.1
12:04.2,102647,5/15/25,26:49.1
13:03.8,102648,5/15/25,27:49.1
14:04.4,102658,5/15/25,28:49.1
15:04.0,102666,5/15/25,29:49.1
16:04.4,102684,5/15/25,30:49.1
17:04.0,102684,5/15/25,31:49.1
18:04.8,102692,5/15/25,32:49.1
19:04.2,102695,5/15/25,33:49.1
20:03.8,102694,5/15/25,34:49.1
21:04.5,102698,5/15/25,35:49.1
22:03.9,102695,5/15/25,36:49.1
23:04.5,102685,5/15/25,37:49.1
24:04.1,102680,5/15/25,38:49.1
25:03.7,102681,5/15/25,39:49.1
26:04.4,102682,5/15/25,40:49.1
27:03.9,102677,5/15/25,41:49.1
28:04.4,102677,5/15/25,42:49.1
29:03.8,102670,5/15/25,43:49.1
30:04.4,102666,5/15/25,44:49.1
31:03.9,102662,5/15/25,45:49.1
32:04.4,102660,5/15/25,46:49.1
33:05.1,102656,5/15/25,47:49.1
34:03.7,102667,5/15/25,48:49.1
35:04.2,102667,5/15/25,49:49.1
36:03.6,102659,5/15/25,50:49.1
37:04.0,102631,5/15/25,51:49.1
38:04.4,102631,5/15/25,52:49.1
,,,
,,,
