ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,moving_avg_price,volatility_15m
2025-04-23 19:59:06,123342.02372858339,93601.17977001569,93696.30438633697,123342.02372858339,123342.02372858339,-29692.865109549817,-29692.865109549817,-29692.865109549817,-29692.865109549817,-29692.865109549817,-29692.865109549817,0.0,0.0,0.0,93649.15861903357,93649.63101443661,2.179966198722847
2025-04-23 19:59:21,123339.80110568259,93601.38254910048,93698.87996326076,123339.80110568259,123339.80110568259,-29690.69497419375,-29690.69497419375,-29690.69497419375,-29690.69497419375,-29690.69497419375,-29690.69497419375,0.0,0.0,0.0,93649.10613148884,93649.48715951569,1.9097425590235793
2025-04-23 20:00:06,123333.13323698021,93600.13617781889,93700.59126517744,123333.13323698021,123333.13323698021,-29684.158677397943,-29684.158677397943,-29684.158677397943,-29684.158677397943,-29684.158677397943,-29684.158677397943,0.0,0.0,0.0,93648.97455958228,93649.33888357748,1.5721375832330406
2025-04-23 20:00:22,123330.76243921935,93599.899751756,93702.08652493544,123330.76243921935,123330.76243921935,-29681.82514315564,-29681.82514315564,-29681.82514315564,-29681.82514315564,-29681.82514315564,-29681.82514315564,0.0,0.0,0.0,93648.93729606371,93649.2251818329,1.3180262752425995
2025-04-23 20:01:06,123324.242745377,93600.55644015182,93695.5595459394,123324.242745377,123324.242745377,-29675.38158102605,-29675.38158102605,-29675.38158102605,-29675.38158102605,-29675.38158102605,-29675.38158102605,0.0,0.0,0.0,93648.86116435096,93649.11280526666,1.0049740270112777
2025-04-23 20:01:22,123321.87194761618,93594.60520146517,93696.00554501476,123321.87194761618,123321.87194761618,-29673.028733804225,-29673.028733804225,-29673.028733804225,-29673.028733804225,-29673.028733804225,-29673.028733804225,0.0,0.0,0.0,93648.84321381195,93649.03176108368,0.8081562735359414
2025-04-23 20:02:07,123315.20407891378,93599.72794331262,93696.23112216884,123315.20407891378,123315.20407891378,-29666.38292084361,-29666.38292084361,-29666.38292084361,-29666.38292084361,-29666.38292084361,-29666.38292084361,0.0,0.0,0.0,93648.82115807018,93648.9574489145,0.5902207006629479
2025-04-23 20:02:24,123312.68510629288,93599.12278681586,93700.29892672118,123312.68510629288,123312.68510629288,-29663.861192421708,-29663.861192421708,-29663.861192421708,-29663.861192421708,-29663.861192421708,-29663.861192421708,0.0,0.0,0.0,93648.82391387117,93648.9096338913,0.5278988912808138
2025-04-23 20:03:07,123306.31358731058,93596.39173268082,93700.025324555,123306.31358731058,123306.31358731058,-29657.45501705676,-29657.45501705676,-29657.45501705676,-29657.45501705676,-29657.45501705676,-29657.45501705676,0.0,0.0,0.0,93648.85857025383,93648.87426800058,0.44637328429333095
2025-04-23 20:03:24,123303.79461468967,93598.44949485859,93696.67159027894,123303.79461468967,123303.79461468967,-29654.91123913539,-29654.91123913539,-29654.91123913539,-29654.91123913539,-29654.91123913539,-29654.91123913539,0.0,0.0,0.0,93648.88337555429,93648.86124171087,0.3836467837949906
2025-04-23 20:04:07,123297.4230957074,93596.81612949235,93696.18652276101,123297.4230957074,123297.4230957074,-29648.448368287965,-29648.448368287965,-29648.448368287965,-29648.448368287965,-29648.448368287965,-29648.448368287965,0.0,0.0,0.0,93648.97472741944,93648.8665890474,0.3045166619608098
2025-04-23 20:04:24,123294.90412308651,93596.26859904607,93699.0404820811,123294.90412308651,123294.90412308651,-29645.881817148624,-29645.881817148624,-29645.881817148624,-29645.881817148624,-29645.881817148624,-29645.881817148624,0.0,0.0,0.0,93649.02230593789,93648.88960927412,0.24753441152529196
2025-04-23 20:05:07,123283.57532678226,93596.68707546609,93692.97230843513,123283.57532678226,123283.57532678226,-29639.360451624612,-29639.360451624612,-29639.360451624612,-29639.360451624612,-29639.360451624612,-29639.360451624612,0.0,0.0,0.0,93644.21487515765,93648.22841803778,1.249266232626191
2025-04-23 20:05:25,123278.83303995719,93591.24023736017,93690.77312130494,123278.83303995719,123278.83303995719,-29636.617862255913,-29636.617862255913,-29636.617862255913,-29636.617862255913,-29636.617862255913,-29636.617862255913,0.0,0.0,0.0,93642.21517770128,93647.2847065565,2.064816528789228
2025-04-23 20:06:08,123267.50424365293,93588.58171198837,93686.98549267357,123267.50424365293,123267.50424365293,-29630.03524672752,-29630.03524672752,-29630.03524672752,-29630.03524672752,-29630.03524672752,-29630.03524672752,0.0,0.0,0.0,93637.46899692541,93645.66257556426,3.4247120278551475
2025-04-23 20:06:25,123263.02541720706,93586.92421524084,93685.57589059744,123263.02541720706,123263.02541720706,-29627.420666767335,-29627.420666767335,-29627.420666767335,-29627.420666767335,-29627.420666767335,-29627.420666767335,0.0,0.0,0.0,93635.60475043973,93643.76917273368,4.537822644377673
2025-04-23 20:07:09,123251.43316052362,93577.96733441894,93678.0002378844,123251.43316052362,123251.43316052362,-29620.62105902502,-29620.62105902502,-29620.62105902502,-29620.62105902502,-29620.62105902502,-29620.62105902502,0.0,0.0,0.0,93630.8121014986,93641.18756215429,6.009286410332775
2025-04-23 20:07:25,123247.21779445691,93582.5685632922,93680.27163911403,123247.21779445691,123247.21779445691,-29618.136736642915,-29618.136736642915,-29618.136736642915,-29618.136736642915,-29618.136736642915,-29618.136736642915,0.0,0.0,0.0,93629.081057814,93638.3456093535,7.21230117525162
2025-04-23 20:08:09,123235.62553777348,93576.63737085782,93674.01180752825,123235.62553777348,123235.62553777348,-29611.272104810672,-29611.272104810672,-29611.272104810672,-29611.272104810672,-29611.272104810672,-29611.272104810672,0.0,0.0,0.0,93624.3534329628,93634.82148464279,8.650637051264516
2025-04-23 20:08:25,123231.41017170678,93575.75369263564,93674.2715165022,123231.41017170678,123231.41017170678,-29608.76384885231,-29608.76384885231,-29608.76384885231,-29608.76384885231,-29608.76384885231,-29608.76384885231,0.0,0.0,0.0,93622.64632285447,93631.74026288519,9.806183207565683
2025-04-23 20:09:09,123219.81791502335,93570.96430482241,93666.28282457126,123219.81791502335,123219.81791502335,-29601.83262705591,-29601.83262705591,-29601.83262705591,-29601.83262705591,-29601.83262705591,-29601.83262705591,0.0,0.0,0.0,93617.98528796744,93628.27885006605,11.099240544851988
2025-04-23 20:09:26,123215.33908857747,93569.03357398807,93667.0628175992,123215.33908857747,123215.33908857747,-29599.141365725038,-29599.141365725038,-29599.141365725038,-29599.141365725038,-29599.141365725038,-29599.141365725038,0.0,0.0,0.0,93616.19772285243,93625.24009662707,12.088288146419012
2025-04-23 20:10:09,123204.01029227319,93561.38277224288,93664.50772653213,123204.01029227319,123204.01029227319,-29592.300583194014,-29592.300583194014,-29592.300583194014,-29592.300583194014,-29592.300583194014,-29592.300583194014,0.0,0.0,0.0,93611.70970907918,93621.82651928984,13.10658783888097
2025-04-23 20:10:26,123199.53146582731,93560.54500171111,93659.07582712476,123199.53146582731,123199.53146582731,-29589.582737287514,-29589.582737287514,-29589.582737287514,-29589.582737287514,-29589.582737287514,-29589.582737287514,0.0,0.0,0.0,93609.9487285398,93618.84603743859,13.761964437596026
2025-04-23 20:11:10,123187.93920914391,93556.21782372928,93654.893063534,123187.93920914391,123187.93920914391,-29582.512781118177,-29582.512781118177,-29582.512781118177,-29582.512781118177,-29582.512781118177,-29582.512781118177,0.0,0.0,0.0,93605.42642802573,93615.4668046117,14.351802861662058
2025-04-23 20:11:26,123183.72384307718,93555.25841954043,93652.74253820519,123183.72384307718,123183.72384307718,-29579.929075526325,-29579.929075526325,-29579.929075526325,-29579.929075526325,-29579.929075526325,-29579.929075526325,0.0,0.0,0.0,93603.79476755086,93612.52985240999,14.460826898939654
2025-04-23 20:12:10,123172.13158639376,93549.60108202169,93646.75312932306,123172.13158639376,123172.13158639376,-29572.78828393662,-29572.78828393662,-29572.78828393662,-29572.78828393662,-29572.78828393662,-29572.78828393662,0.0,0.0,0.0,93599.34330245714,93609.20084949609,14.344208423502451
2025-04-23 20:12:26,123167.91622032704,93546.93074554668,93642.90702774265,123167.91622032704,123167.91622032704,-29570.178589224826,-29570.178589224826,-29570.178589224826,-29570.178589224826,-29570.178589224826,-29570.178589224826,0.0,0.0,0.0,93597.73763110221,93606.30832708676,14.234554036575695
2025-04-23 20:13:11,123156.06050326444,93544.64753365741,93647.78829040714,123156.06050326444,123156.06050326444,-29562.801170670115,-29562.801170670115,-29562.801170670115,-29562.801170670115,-29562.801170670115,-29562.801170670115,0.0,0.0,0.0,93593.25933259432,93603.03141419275,14.132463303538318
